,time_of_purchase,club_membership,checkout_type,payment_method,product_code,department,items_in_purchase,cost,cashier,return
132,28062021--18:19,1,0,2,1,3,29,8.92,36,0
133,28062021--18:19,0,0,1,7,1,19,27.67,48,0
134,28062021--18:20,1,0,1,2,5,75,17.32,43,0
135,28062021--18:20,1,0,0,1,19,94,14.82,75,0
136,28062021--18:30,1,0,0,4,7,2,35.28,59,0
137,28062021--18:31,1,0,3,4,0,5,564.54,35,0
138,28062021--18:36,1,0,1,1,15,37,37.58,58,0
139,28062021--18:39,0,0,0,3,16,14,59.29,28,0
140,28062021--18:43,0,0,1,3,41,11,82.81,40,0
141,28062021--18:47,0,0,2,3,13,27,110.25,45,0
142,28062021--18:50,1,0,0,4,0,10,564.54,45,0
143,28062021--18:57,1,0,3,4,5,99,317.55,24,1
144,28062021--19:01,1,0,0,2,19,23,1.04,48,0
145,28062021--19:02,1,0,2,1,3,20,19.77,94,0
146,28062021--19:08,0,0,2,3,20,22,59.29,28,0
147,28062021--19:10,1,0,0,4,0,38,564.54,47,0
148,28062021--19:16,1,0,0,2,6,26,13.42,49,0
149,28062021--19:23,1,0,0,1,0,137,324.0,51,1
150,28062021--19:24,0,0,0,0,1,9,27.56,62,1
151,28062021--19:34,0,0,3,3,6,13,110.25,45,0
152,28062021--19:50,1,0,1,2,11,4,4.39,74,0
153,28062021--19:58,1,0,2,1,41,18,18.87,58,0
154,28062021--19:59,1,0,3,2,4,1,12.91,79,0
155,28062021--20:32,1,0,2,1,13,6,8.64,54,0
156,28062021--20:40,0,0,1,0,1,20,159.52,71,1
157,28062021--20:42,1,0,1,2,15,5,18.02,55,0
158,28062021--20:44,0,0,0,0,1,19,1296.0,42,1
159,28062021--20:46,0,0,1,0,1,129,419.9,25,1
160,28062021--20:46,0,0,3,0,1,102,618.02,41,1
161,28062021--20:46,1,0,2,1,11,53,11.0,36,0
162,28062021--20:49,0,0,0,3,21,144,196.0,28,0
163,28062021--20:49,0,0,2,0,1,6,11.42,26,0
164,28062021--20:50,0,0,1,0,1,186,162.01,27,1
165,29062021--11:04,0,0,0,6,15,5,160.0,57,0
166,29062021--12:10,0,0,1,3,41,46,196.0,25,0
167,29062021--12:14,1,0,0,4,5,161,317.55,49,0
168,29062021--12:23,1,0,1,2,4,41,11.89,28,0
169,29062021--12:42,1,0,3,2,4,10,15.5,46,0
170,29062021--12:59,1,0,1,2,1,4,6.87,45,0
171,29062021--13:02,1,0,2,1,4,15,3.03,54,0
172,29062021--13:07,1,0,0,1,1,9,7.94,86,0
173,29062021--13:08,1,0,3,1,7,6,19.22,89,0
174,29062021--13:11,1,0,3,2,10,1,18.02,23,0
175,29062021--13:18,1,0,3,1,4,46,18.75,41,0
176,29062021--13:27,1,0,2,2,7,5,4.27,69,0
177,29062021--13:31,1,0,2,4,0,12,564.54,36,0
178,29062021--13:32,1,0,0,2,3,9,1.83,87,0
179,29062021--13:38,1,0,1,2,25,28,5.68,35,0
180,29062021--13:39,1,0,3,4,4,21,564.54,49,0
181,29062021--13:45,1,0,1,4,7,4,17.98,39,0
182,29062021--13:58,1,0,2,2,15,59,198.81,91,0
183,29062021--14:00,1,0,3,4,0,11,172.89,60,0
184,29062021--14:06,0,0,1,7,1,57,0.04,48,0
185,29062021--14:06,1,0,0,2,41,7,16.48,51,0
186,29062021--14:14,1,0,0,2,15,2,5.71,86,0
187,29062021--14:19,1,0,0,1,11,12,1.39,35,0
188,29062021--14:23,1,0,3,4,0,20,564.54,52,0
189,29062021--14:33,1,0,1,1,41,9,14.96,35,0
190,29062021--14:35,1,0,0,4,28,8,1270.21,59,0
191,29062021--14:38,0,0,2,0,1,161,291.6,33,1
192,29062021--14:38,1,0,3,1,1,47,5.63,77,0
193,29062021--14:41,1,0,1,2,41,117,7.14,36,0
194,29062021--14:42,1,0,2,2,3,20,16.67,45,0
195,29062021--14:43,1,0,1,6,9,15,113.21,48,0
196,29062021--14:44,1,0,3,1,12,127,8.75,45,0
197,29062021--14:53,0,0,0,3,13,4,59.29,49,0
198,29062021--14:54,1,0,2,4,0,6,564.54,31,0
199,29062021--14:59,0,0,2,0,4,12,25.0,60,0
200,29062021--15:00,1,0,0,4,18,3,882.09,54,0
201,29062021--15:00,1,0,2,1,13,15,46.65,45,0
202,29062021--15:02,0,0,0,0,1,25,45.56,33,1
203,29062021--15:05,1,0,2,2,30,12,8.92,35,0
204,29062021--15:06,1,0,2,2,4,8,2.62,71,0
205,29062021--15:10,1,0,0,8,9,99,208.51,48,0
206,29062021--15:12,0,0,0,0,1,20,42.25,28,1
207,29062021--15:14,1,0,3,2,3,7,2.06,28,0
208,29062021--15:18,0,0,0,6,15,1,153.76,60,0
209,29062021--15:23,1,0,3,4,7,19,141.13,31,0
210,29062021--15:26,0,0,2,0,1,5,45.56,68,1
211,29062021--15:27,1,0,2,4,4,10,882.09,27,0
212,29062021--15:27,1,0,3,4,18,5,141.13,54,0
213,29062021--15:28,1,0,0,2,9,4,4.73,49,0
214,29062021--15:30,1,0,0,2,11,22,10.72,36,0
215,29062021--15:31,1,0,3,4,0,30,317.55,31,0
216,29062021--15:34,1,0,0,1,4,127,3.42,64,0
217,29062021--15:35,1,1,0,1,4,35,91.58,0,0
218,29062021--15:40,1,0,0,2,12,1,12.55,57,0
219,29062021--15:41,1,0,0,2,34,16,6.5,92,0
220,29062021--15:42,1,0,0,1,4,8,16.92,58,0
221,29062021--15:47,1,0,2,2,13,92,9.03,82,0
222,29062021--15:49,1,0,2,1,13,12,19.39,70,0
223,29062021--15:55,1,0,1,4,0,81,564.54,45,0
224,29062021--15:57,1,0,3,4,10,46,141.13,58,0
225,29062021--15:58,0,0,3,3,41,25,82.81,47,0
226,29062021--15:59,1,0,2,2,23,103,102.01,29,1
227,29062021--16:01,0,0,0,0,1,5,4.74,34,0
228,29062021--16:03,1,0,1,4,0,36,564.54,50,0
229,29062021--16:05,0,0,2,3,9,146,39.69,33,0
230,29062021--16:06,0,0,1,3,4,51,59.29,47,0
231,29062021--16:07,1,0,1,4,7,8,564.54,70,0
232,29062021--16:09,0,0,0,0,1,13,240.25,26,1
233,29062021--16:09,0,0,2,6,15,36,153.76,81,0
234,29062021--16:11,1,0,2,2,3,3,13.3,77,0
235,29062021--16:15,0,0,1,0,1,158,532.02,29,1
236,29062021--16:18,0,0,1,0,1,93,233.29,31,1
237,29062021--16:19,0,0,0,0,1,6,19.27,52,0
238,29062021--16:20,1,0,0,4,4,5,564.54,33,0
239,29062021--16:21,0,0,0,9,35,17,2.92,48,0
240,29062021--16:23,1,0,2,4,20,10,225.82,56,0
241,29062021--16:26,0,0,0,0,1,37,102.62,23,1
242,29062021--16:28,1,0,3,1,16,2,19.36,59,0
243,29062021--16:29,1,0,0,1,7,84,9.85,86,0
244,29062021--16:32,1,0,1,2,11,4,2.23,67,0
245,29062021--16:32,1,0,0,1,23,40,5.69,21,0
246,29062021--16:32,1,0,2,2,16,3,22.47,38,0
247,29062021--16:35,0,0,0,6,15,31,160.0,87,0
248,29062021--16:37,1,0,3,4,0,30,225.82,33,0
249,29062021--16:38,1,0,1,2,20,19,11.49,63,0
250,29062021--16:38,1,0,1,1,41,49,10.64,60,0
251,29062021--16:38,0,0,0,9,3,1,41.22,48,0
252,29062021--16:40,1,0,0,1,1,78,19.37,74,0
253,29062021--16:43,0,0,0,0,1,7,95.06,30,1
254,29062021--16:45,1,0,0,4,0,47,1707.73,46,0
255,29062021--16:48,1,0,1,4,4,10,317.55,65,0
256,29062021--16:49,1,0,1,4,7,20,317.55,53,0
257,29062021--16:55,1,0,2,2,1,12,6.54,53,0
258,29062021--16:56,1,0,0,1,13,22,6.89,35,0
259,29062021--16:57,1,0,0,4,4,13,141.13,29,0
260,29062021--16:58,1,0,2,1,41,29,17.35,81,0
261,29062021--16:58,1,0,0,2,1,54,13.21,71,0
262,29062021--16:59,1,0,2,2,1,1,8.19,83,0
263,29062021--17:01,0,0,3,4,10,63,329.48,35,0
264,29062021--17:02,0,0,1,0,1,13,95.06,51,1
265,29062021--17:07,1,0,2,2,7,13,10.06,58,0
266,29062021--17:12,0,0,2,0,0,14,16.0,81,0
267,29062021--17:20,1,0,0,2,6,6,18.25,74,0
268,29062021--17:22,0,0,2,7,0,11,121.0,48,0
269,29062021--17:25,0,0,1,3,7,4,59.29,54,0
270,29062021--17:25,1,0,0,2,3,8,53.29,38,0
271,29062021--17:26,0,0,3,3,6,97,167.7,53,0
272,29062021--17:27,1,0,2,4,7,8,564.54,30,0
273,29062021--17:29,1,0,0,1,41,85,5.97,73,0
274,29062021--17:32,1,0,2,1,15,2,5.38,36,0
275,29062021--17:32,1,0,2,4,3,46,317.55,34,0
276,29062021--17:33,1,0,2,4,4,62,564.54,32,0
277,29062021--17:34,0,0,3,3,3,44,82.81,63,0
278,29062021--17:35,1,0,2,0,7,2,308.0,32,0
279,29062021--17:35,1,0,3,2,13,72,19.19,91,0
280,29062021--17:36,1,0,2,4,4,50,564.54,30,0
281,29062021--17:37,1,0,3,2,3,12,1.71,78,0
282,29062021--17:39,1,0,1,1,21,52,18.7,93,0
283,29062021--17:41,0,0,0,6,17,24,36.0,50,0
284,29062021--17:43,1,0,3,1,5,32,9.72,72,0
285,29062021--17:47,1,0,0,1,41,34,1.2,35,0
286,29062021--17:48,1,0,3,4,10,29,172.89,61,0
287,29062021--17:49,1,0,1,4,10,21,141.13,38,0
288,29062021--17:49,1,0,2,2,3,63,35.28,22,0
289,29062021--17:52,1,1,2,1,4,91,91.58,0,0
290,29062021--17:54,1,0,2,2,21,28,25.1,36,0
291,29062021--17:56,1,0,2,1,5,25,18.06,70,0
292,29062021--17:58,1,0,2,2,9,4,2.08,76,0
293,29062021--17:59,1,0,2,1,11,103,16.0,41,0
294,29062021--18:01,1,0,2,2,9,33,47.33,83,0
295,29062021--18:08,1,0,1,1,7,2,11.76,35,0
296,29062021--18:08,1,0,2,2,32,8,9.03,63,0
297,29062021--18:12,1,0,3,1,25,38,14.63,63,0
298,29062021--18:12,1,0,3,2,28,59,5.77,56,0
299,29062021--18:13,1,0,0,2,7,10,3.01,87,0
300,29062021--18:16,1,0,3,1,13,10,18.95,89,0
301,29062021--18:17,1,0,2,0,10,116,4418.82,55,1
302,29062021--18:20,1,0,0,1,41,2,7.3,54,0
303,29062021--18:25,0,0,1,3,4,4,39.69,47,0
304,29062021--18:29,1,0,1,2,9,40,3.89,42,0
305,29062021--18:29,1,0,2,2,10,2,17.09,32,0
306,29062021--18:34,1,1,3,1,4,5,91.58,0,0
307,29062021--18:35,0,0,1,3,9,5,39.69,32,0
308,29062021--18:43,1,0,0,1,6,74,17.15,77,0
309,29062021--18:46,1,0,0,1,4,14,12.96,22,0
310,29062021--18:46,1,0,2,2,21,19,8.94,88,0
311,29062021--18:52,1,0,1,1,7,7,6.37,74,0
312,29062021--18:53,1,0,3,2,20,7,4.99,73,0
313,29062021--19:17,1,0,0,2,1,3,17.43,59,0
314,29062021--19:25,1,0,2,2,4,45,4.49,43,0
315,29062021--19:36,0,0,3,3,13,33,59.29,62,0
316,29062021--19:48,0,0,1,6,15,2,243.36,92,0
317,29062021--19:55,0,0,2,3,7,1,39.69,41,0
318,29062021--19:57,1,0,1,2,7,7,19.98,35,0
319,29062021--19:58,1,0,1,1,7,10,18.93,50,0
320,29062021--19:59,1,0,2,2,4,4,18.93,56,0
321,29062021--20:00,0,0,0,3,6,18,110.25,49,0
322,29062021--20:07,1,0,0,2,1,2,15.27,35,0
323,29062021--20:15,1,0,2,4,10,86,564.54,35,0
324,29062021--20:18,1,0,0,2,4,24,2.88,87,0
325,29062021--20:20,1,0,0,2,41,35,5.31,60,0
326,29062021--20:48,1,0,1,4,4,7,317.55,26,0
327,29062021--20:49,0,0,0,0,1,144,1060.9,24,1
328,29062021--20:53,0,0,1,3,41,162,82.81,51,1
329,29062021--20:53,1,0,2,1,33,103,132.25,95,1
330,29062021--20:53,0,0,0,0,1,176,693.06,46,1
331,30062021--11:35,0,0,0,6,17,13,36.0,47,0
332,30062021--11:43,1,0,1,1,41,33,6.8,46,0
333,30062021--12:10,1,0,2,4,5,5,564.54,54,0
334,30062021--12:32,1,0,3,1,6,17,9.07,44,0
335,30062021--12:48,0,0,2,6,10,34,1051.65,48,0
336,30062021--12:52,0,0,0,3,7,4,59.29,32,0
337,30062021--13:00,1,0,0,2,21,126,7.8,93,0
338,30062021--13:10,1,0,2,2,6,7,7.75,67,0
339,30062021--13:14,0,0,0,6,23,124,233.29,56,0
340,30062021--13:26,1,0,0,4,0,8,317.55,37,0
341,30062021--13:31,0,0,0,3,4,34,59.29,71,0
342,30062021--13:32,1,0,1,1,13,17,12.27,52,0
343,30062021--13:36,1,0,3,1,11,24,19.45,95,0
344,30062021--13:43,1,0,2,1,7,4,7.04,29,0
345,30062021--13:57,0,0,0,1,1,40,0.1,48,0
346,30062021--14:03,0,0,2,6,15,56,615.04,72,0
347,30062021--14:04,1,0,0,2,3,9,18.3,25,0
348,30062021--14:10,1,0,0,0,20,6,355.32,84,0
349,30062021--14:13,1,0,2,2,1,93,12.29,70,0
350,30062021--14:17,1,0,0,1,1,1,6.09,38,0
351,30062021--14:18,1,0,3,1,3,13,14.9,34,0
352,30062021--14:21,1,0,2,2,23,101,17.61,35,0
353,30062021--14:24,1,0,2,2,5,35,7.33,85,0
354,30062021--14:26,1,0,1,4,7,4,317.55,31,0
355,30062021--14:28,0,0,0,6,17,2,36.0,56,0
356,30062021--14:32,1,0,0,2,41,1,15.26,64,0
357,30062021--14:36,1,0,2,2,9,7,18.42,95,0
358,30062021--14:37,1,1,2,1,0,2,27.04,0,0
359,30062021--14:38,0,0,1,3,7,13,59.29,44,0
360,30062021--14:43,1,0,2,4,24,147,172.89,30,0
361,30062021--14:47,1,0,0,1,10,48,12.34,34,0
362,30062021--14:57,0,0,0,7,41,137,169.0,48,1
363,30062021--14:58,1,0,3,1,23,42,11.25,29,0
364,30062021--15:01,1,0,2,1,13,90,7.73,51,0
365,30062021--15:03,1,0,0,2,9,8,19.58,46,0
366,30062021--15:03,1,0,1,2,11,7,16.54,36,0
367,30062021--15:06,1,0,1,2,9,51,18.49,94,0
368,30062021--15:07,1,0,3,2,9,11,6.04,92,0
369,30062021--15:08,1,0,1,4,24,64,35.28,31,0
370,30062021--15:17,0,0,1,4,15,20,150.06,52,0
371,30062021--15:18,0,0,1,3,16,7,133.4,34,0
372,30062021--15:21,1,0,1,1,41,18,9.44,35,0
373,30062021--15:22,1,0,0,1,11,9,7.16,41,0
374,30062021--15:23,0,0,2,0,1,7,54.46,32,1
375,30062021--15:23,1,0,0,1,10,30,39.56,64,0
376,30062021--15:23,1,0,1,2,26,2,3.09,36,0
377,30062021--15:23,1,0,0,4,0,13,225.82,31,0
378,30062021--15:26,0,0,1,3,4,12,59.29,57,0
379,30062021--15:26,1,0,2,2,5,16,15.69,82,0
380,30062021--15:28,0,0,2,6,17,175,84.64,46,0
381,30062021--15:32,0,0,1,0,1,132,399.55,72,1
382,30062021--15:35,0,0,3,3,21,23,82.81,28,0
383,30062021--15:39,0,0,0,3,4,8,133.4,66,0
384,30062021--15:40,0,0,2,3,41,2,82.81,50,0
385,30062021--15:40,0,0,0,3,4,26,216.09,18,0
386,30062021--15:45,1,0,2,2,1,37,17.88,36,0
387,30062021--15:48,1,0,1,4,8,27,1270.21,35,0
388,30062021--15:51,1,0,0,2,7,30,15.32,69,0
389,30062021--15:52,1,0,3,4,21,17,882.09,24,0
390,30062021--15:53,1,0,0,4,5,45,141.13,47,0
391,30062021--15:53,1,0,1,2,1,10,9.19,93,0
392,30062021--15:54,1,1,2,1,0,172,5.99,0,0
393,30062021--15:56,0,0,0,0,1,10,43.96,28,1
394,30062021--16:00,0,0,2,3,11,13,150.06,57,0
395,30062021--16:01,0,0,3,7,1,13,0.08,48,0
396,30062021--16:02,1,0,0,4,25,8,317.55,54,0
397,30062021--16:04,1,0,1,0,10,178,2773.22,30,1
398,30062021--16:05,1,0,0,4,0,18,882.09,33,0
399,30062021--16:08,1,0,1,1,0,10,14.73,45,0
400,30062021--16:11,0,0,1,3,13,31,59.29,80,0
401,30062021--16:13,1,0,0,1,5,9,7.12,70,0
402,30062021--16:13,0,0,3,6,15,13,153.76,53,0
403,30062021--16:16,1,0,2,2,15,4,9.71,93,0
404,30062021--16:17,1,0,0,1,41,21,19.72,84,0
405,30062021--16:20,1,0,3,1,21,6,11.95,68,0
406,30062021--16:20,1,1,3,5,7,6,110.25,0,0
407,30062021--16:22,1,0,2,1,15,39,16.14,35,0
408,30062021--16:27,1,0,3,1,13,18,14.41,22,0
409,30062021--16:28,1,0,0,4,19,5,564.54,26,0
410,30062021--16:28,1,0,3,8,9,12,208.51,22,0
411,30062021--16:29,1,0,3,1,9,4,40.45,77,0
412,30062021--16:33,1,0,2,4,0,6,352.84,62,0
413,30062021--16:35,1,0,0,2,6,64,31.02,68,0
414,30062021--16:37,1,0,1,2,9,4,9.34,45,0
415,30062021--16:38,1,0,0,4,7,9,141.13,33,0
416,30062021--16:38,1,0,3,1,20,1,19.95,44,0
417,30062021--16:39,1,0,1,4,21,6,882.09,31,0
418,30062021--16:39,1,0,1,2,15,6,12.25,81,0
419,30062021--16:40,1,0,3,4,28,129,426.93,56,1
420,30062021--16:48,1,0,3,2,24,73,11.17,68,0
421,30062021--16:49,0,0,2,3,3,40,150.06,34,0
422,30062021--16:49,0,0,0,0,1,7,16.07,22,0
423,30062021--16:51,1,0,0,4,8,34,1270.21,54,0
424,30062021--16:55,0,0,3,0,1,5,19.27,42,1
425,30062021--16:55,1,0,2,1,9,7,12.17,45,0
426,30062021--16:55,1,0,3,1,6,12,1.2,48,0
427,30062021--17:00,0,0,0,0,1,3,31.7,34,1
428,30062021--17:01,0,0,0,0,1,4,25.0,42,1
429,30062021--17:01,1,0,2,2,9,17,2.06,43,0
430,30062021--17:02,1,0,0,1,13,85,12.62,26,0
431,30062021--17:07,1,0,2,2,9,3,1.32,82,0
432,30062021--17:08,0,0,3,0,1,17,6.88,30,0
433,30062021--17:09,0,0,2,7,1,26,3.84,48,0
434,30062021--17:11,1,0,1,4,8,27,596.29,34,0
435,30062021--17:13,0,0,0,3,11,65,82.81,30,0
436,30062021--17:16,1,0,2,1,10,107,388.09,53,1
437,30062021--17:16,1,0,0,2,41,21,11.4,66,0
438,30062021--17:19,1,0,2,1,14,65,13.49,48,0
439,30062021--17:20,1,0,1,1,11,6,8.34,66,0
440,30062021--17:26,1,0,0,1,7,1,17.51,88,0
441,30062021--17:26,1,0,0,1,4,27,13.39,79,0
442,30062021--17:27,1,0,1,6,9,76,113.21,48,0
443,30062021--17:28,1,0,2,1,11,44,16.57,36,0
444,30062021--17:39,1,0,2,1,3,92,13.25,41,0
445,30062021--17:39,0,0,3,3,9,87,133.4,49,0
446,30062021--17:46,1,0,0,1,11,4,17.84,69,0
447,30062021--17:46,0,0,2,0,1,9,547.56,65,1
448,30062021--17:51,0,0,0,0,1,11,252.17,27,1
449,30062021--17:52,1,0,1,1,0,40,2.04,30,0
450,30062021--17:53,1,0,2,2,9,1,15.37,77,0
451,30062021--17:54,1,0,0,1,3,33,10.69,80,0
452,30062021--17:55,1,0,2,1,11,21,38.94,88,0
453,30062021--17:55,1,0,2,4,5,13,1270.21,31,0
454,30062021--17:55,1,0,1,1,41,3,1.92,36,0
455,30062021--17:55,0,0,2,7,1,25,0.02,48,0
456,30062021--17:57,1,1,3,1,4,81,91.58,0,0
457,30062021--17:59,1,0,2,2,1,16,15.4,35,0
458,30062021--18:00,1,0,3,2,5,27,14.96,59,0
459,30062021--18:03,0,0,3,9,6,11,346.7,39,0
460,30062021--18:10,1,0,0,1,18,114,11.67,80,0
461,30062021--18:12,1,0,3,2,12,1,11.02,67,0
462,30062021--18:12,0,0,0,0,1,42,631.52,25,1
